                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     32,                0.00517,                0.56873,                 1.1327,                 0.6544,                0.68151,                0.70389,                0.41988,                0.00596,                0.66171,                 1.2376,             3.2278e-05,             3.2278e-05,             3.2278e-05
                     33,                0.00535,                0.60435,                 1.1161,                0.64799,                0.68085,                 0.7049,                0.42149,                0.00598,                0.64873,                 1.2365,             2.9424e-05,             2.9424e-05,             2.9424e-05
                     34,                0.00526,                0.55966,                 1.1134,                0.67467,                 0.6676,                0.70496,                0.42499,                0.00596,                0.62958,                 1.2319,             2.6653e-05,             2.6653e-05,             2.6653e-05
                     35,                0.00528,                0.54063,                 1.0974,                0.65945,                0.67643,                0.70345,                0.42896,                0.00594,                0.62126,                 1.2327,             2.3977e-05,             2.3977e-05,             2.3977e-05
                     36,                0.00498,                0.53741,                 1.0772,                0.66479,                0.68151,                 0.7032,                0.42538,                0.00594,                0.62811,                 1.2312,             2.1405e-05,             2.1405e-05,             2.1405e-05
                     37,                0.00532,                0.56152,                 1.1101,                0.69492,                0.65753,                0.69729,                0.42162,                0.00595,                0.63208,                  1.234,             1.8948e-05,             1.8948e-05,             1.8948e-05
                     38,                  0.005,                0.53406,                 1.0735,                0.69012,                0.66438,                0.69638,                0.42128,                0.00593,                0.63238,                 1.2314,             1.6615e-05,             1.6615e-05,             1.6615e-05
                     39,                0.00533,                0.57942,                  1.093,                0.69092,                0.65753,                 0.7022,                0.42021,                0.00594,                 0.6306,                 1.2314,             1.4416e-05,             1.4416e-05,             1.4416e-05
                     40,                0.00535,                0.57971,                 1.1325,                 0.6876,                 0.6784,                0.69702,                0.41603,                0.00594,                0.63426,                 1.2346,              1.236e-05,              1.236e-05,              1.236e-05
                     41,                0.00502,                0.55795,                 1.0787,                0.67205,                0.68776,                 0.6985,                0.41541,                0.00598,                0.63447,                 1.2441,             1.0454e-05,             1.0454e-05,             1.0454e-05
                     42,                  0.005,                0.51496,                  1.071,                0.66273,                0.67466,                 0.6985,                0.41643,                0.00594,                0.63109,                 1.2388,             8.7058e-06,             8.7058e-06,             8.7058e-06
                     43,                0.00502,                0.53264,                 1.0901,                 0.6867,                0.66438,                0.69694,                0.41356,                0.00596,                0.63806,                 1.2358,             7.1228e-06,             7.1228e-06,             7.1228e-06
                     44,                0.00532,                 0.5544,                 1.0866,                0.67164,                0.67466,                0.70085,                0.41691,                0.00596,                0.62849,                 1.2331,             5.7111e-06,             5.7111e-06,             5.7111e-06
                     45,                 0.0053,                0.54159,                 1.1279,                0.68087,                0.67951,                0.70322,                0.42229,                0.00595,                0.62642,                 1.2388,             4.4761e-06,             4.4761e-06,             4.4761e-06
                     46,                0.00496,                0.50069,                 1.0985,                0.66998,                0.67439,                0.70245,                0.41993,                0.00596,                 0.6301,                 1.2399,             3.4227e-06,             3.4227e-06,             3.4227e-06
                     47,                0.00537,                0.53096,                 1.1242,                0.67091,                0.68151,                0.70084,                0.41843,                0.00595,                0.62964,                 1.2415,             2.5551e-06,             2.5551e-06,             2.5551e-06
                     48,                0.00518,                0.54042,                  1.103,                0.65907,                0.66781,                0.70219,                0.41912,                0.00596,                0.63105,                 1.2395,             1.8768e-06,             1.8768e-06,             1.8768e-06
                     49,                0.00532,                0.54615,                 1.0993,                0.66215,                0.68151,                0.70508,                 0.4217,                0.00594,                0.62875,                 1.2343,             1.3903e-06,             1.3903e-06,             1.3903e-06
